Date (AD),Index Value,Absolute Change,Percentage Change
2025-06-26,2595.74,-4.45,-0.17
2025-06-25,2600.2,-0.33,-0.01
2025-06-24,2600.53,-0.22,0.0
2025-06-23,2600.76,4.78,0.18
2025-06-22,2595.97,-32.93,-1.25
2025-06-19,2628.91,-24.76,-0.93
2025-06-18,2653.68,-1.07,-0.04
2025-06-17,2654.75,-3.9,-0.14
2025-06-16,2658.66,2.8,0.1
2025-06-15,2655.85,0.47,0.01
2025-06-12,2655.38,-9.08,-0.34
2025-06-11,2664.47,-13.69,-0.51
2025-06-10,2678.17,25.07,0.94
2025-06-09,2653.09,23.19,0.88
2025-06-08,2629.89,-11.06,-0.41
2025-06-05,2640.96,-5.99,-0.22
2025-06-04,2646.95,-11.97,-0.45
2025-06-03,2658.93,-35.73,-1.32
2025-06-02,2694.66,1.6,0.05
2025-05-28,2693.06,17.44,0.65
2025-05-27,2675.62,0.85,0.03
2025-05-26,2674.76,-5.21,-0.19
2025-05-25,2679.98,-8.57,-0.31
2025-05-22,2688.55,19.04,0.71
2025-05-21,2669.51,-7.94,-0.29
2025-05-20,2677.45,49.09,1.86
2025-05-19,2628.36,19.3,0.74
2025-05-18,2609.05,-2.79,-0.1
2025-05-15,2611.85,-8.41,-0.32
2025-05-14,2620.27,-13.96,-0.53
2025-05-13,2634.23,-14.87,-0.56
2025-05-11,2649.11,-12.53,-0.47
2025-05-08,2661.64,-12.04,-0.45
2025-05-07,2673.69,62.25,2.38
2025-05-06,2611.43,1.03,0.03
2025-05-05,2610.4,-9.98,-0.38
2025-05-04,2620.39,-3.44,-0.13
2025-04-30,2623.83,-8.14,-0.3
2025-04-29,2631.98,-15.08,-0.57
2025-04-28,2647.07,-14.53,-0.54
2025-04-27,2661.6,3.58,0.13
2025-04-24,2658.02,2.08,0.07
2025-04-23,2655.94,-32.38,-1.2
2025-04-22,2688.32,-9.96,-0.36
2025-04-21,2698.28,-7.75,-0.28
2025-04-20,2706.04,-16.68,-0.61
2025-04-17,2722.73,26.49,0.98
2025-04-16,2696.23,7.01,0.26
2025-04-15,2689.22,27.14,1.01
2025-04-13,2662.08,-8.62,-0.32
2025-04-10,2670.7,-5.57,-0.2
2025-04-09,2676.28,9.66,0.36
2025-04-08,2666.61,-3.44,-0.12
2025-04-07,2670.06,-33.33,-1.23
2025-04-03,2703.39,3.35,0.12
2025-04-02,2700.04,23.86,0.89
2025-04-01,2676.17,-16.95,-0.62
2025-03-30,2693.12,29.82,1.11
2025-03-27,2663.3,41.43,1.58
2025-03-26,2621.86,39.13,1.51
2025-03-25,2582.73,-58.05,-2.19
2025-03-24,2640.78,26.1,0.99
2025-03-23,2614.68,-54.62,-2.04
2025-03-20,2669.31,-12.84,-0.47
2025-03-19,2682.15,-14.88,-0.55
2025-03-18,2697.04,-7.66,-0.28
2025-03-17,2704.7,-10.14,-0.37
2025-03-16,2714.85,-21.63,-0.79
2025-03-12,2736.48,17.28,0.63
2025-03-11,2719.2,-32.21,-1.17
2025-03-10,2751.42,-20.68,-0.74
2025-03-09,2772.1,-46.33,-1.64
2025-03-06,2818.43,-2.7,-0.09
2025-03-05,2821.13,-25.16,-0.88
2025-03-04,2846.3,-30.36,-1.05
2025-03-03,2876.66,-13.62,-0.47
2025-03-02,2890.28,75.24,2.67
2025-02-27,2815.04,49.15,1.77
2025-02-25,2765.88,7.13,0.25
2025-02-24,2758.75,3.35,0.12
2025-02-23,2755.4,11.66,0.42
2025-02-20,2743.74,3.14,0.11
2025-02-18,2740.59,12.68,0.46
2025-02-17,2727.91,29.87,1.1
2025-02-16,2698.03,19.56,0.73
2025-02-13,2678.47,-7.26,-0.27
2025-02-12,2685.73,1.86,0.06
2025-02-11,2683.86,6.54,0.24
2025-02-10,2677.32,-10.98,-0.4
2025-02-09,2688.31,-11.49,-0.42
2025-02-06,2699.81,-11.64,-0.42
2025-02-05,2711.45,-4.45,-0.16
2025-02-04,2715.91,-14.08,-0.51
2025-02-03,2730.0,2.41,0.08
2025-02-02,2727.58,69.8,2.62
2025-01-28,2657.77,24.5,0.93
2025-01-27,2633.27,-10.66,-0.4
2025-01-26,2643.93,-10.41,-0.39
2025-01-23,2654.35,-11.1,-0.41
2025-01-22,2665.45,52.36,2.0
2025/01/21,2613.08,5.08,0.19%
2025/01/20,2607.99,6.78,0.26%
2025/01/19,2601.21,12.58,0.48%
2025/01/16,2588.62,-7.33,-0.28%
2025/01/15,2595.96,1.83,0.07%
2025/01/13,2594.13,-15.54,-0.59%
2025/01/12,2609.67,-25.41,-0.96%
2025/01/09,2635.09,-18.14,-0.68%
2025/01/08,2653.23,6.38,0.24%
2025/01/07,2646.84,6.16,0.23%
2025/01/06,2640.68,49.12,1.89%
2025/01/05,2591.56,5.32,0.2%
2025/01/02,2586.23,4.63,0.17%
2025/01/01,2581.6,5.1,0.19%
2024/12/31,2576.5,-33.08,-1.26%
2024/12/29,2609.58,-21.12,-0.8%
2024/12/26,2630.71,4.19,0.15%
2024/12/24,2626.52,14.31,0.54%
2024/12/23,2612.2,28.91,1.11%
2024/12/22,2583.29,-13.53,-0.52%
